ID,AltName,Mstar,rh,C5,Age_x,FeH_x,Name_x,FeH_y,Age_y,Age_err,Method,Figs,Range,HBtype,R_G,M_V,v_e0,log_sigma_0,Name_y,RA,DEC,L,B,R_Sun,R_gc,X,Y,Z,v_r,v_r_e,v_LSR,sig_v,sig_v_e,c,r_c,r_h,mu_V,rho_0,lg_tc,lg_th
NGC 6397,NONE,1.1,3.3,0.33,13.4,-1.99,XXXX,-1.99,13.0,0.25,A,30,13.00,0.98,6.0,-6.64,35.9,5.759,,17:40:42.09,-53:40:27.6,338.17,-11.96,2.3,6.0,2.1,-0.8,-0.5,18.8,0.1,20.3,4.5,0.2,2.5,0.05,2.9,15.47,5.76,4.94,8.6
NGC 6441,NONE,9.55,3.3,2.92,11.2,-0.44,,,,,,,,,,,,,,17:50:13.06,-37:03:05.2,353.53,-5.01,11.6,3.9,11.5,-1.3,-1.0,16.5,1.0,22.9,18.0,0.2,1.74,0.13,0.57,14.85,5.26,7.93,9.09
NGC 6496,NONE,2.0,5.7,0.35,12.4,-0.7,XXXX,-0.46,10.75,0.38,V,16,10.50–10.75,-1.0,4.2,-7.2,16.7,3.459,,17:59:03.68,-44:15:57.4,348.03,-10.01,11.3,4.2,10.9,-2.3,-2.0,-112.7,5.7,-108.4,,,0.7,0.95,1.02,20.17,1.99,8.94,9.04
NGC 6535,NONE,0.2,2.86,0.07,10.5,-1.51,XXXX,-1.79,12.75,0.5,V,32,,1.0,3.9,-4.75,8.2,3.327,,18:03:50.51,-00:17:51.5,27.18,10.44,6.8,3.9,6.0,3.1,1.2,-215.1,0.5,-200.4,2.4,0.5,1.33,0.36,0.85,21.26,2.34,7.28,8.2
NGC 6541,NONE,5.72,3.93,1.45,12.9,-1.53,XXXX,-1.82,12.5,0.5,H,30,,1.0,2.1,-8.52,46.3,5.019,,18:08:02.36,-43:42:53.6,349.29,-11.19,7.5,2.1,7.3,-1.4,-1.5,-158.7,2.3,-154.2,8.2,2.1,1.86,0.18,1.06,15.44,4.65,7.55,9.03
NGC 6584,NONE,3.03,4.87,0.62,11.3,-1.3,XXXX,-1.5,11.75,0.25,A,12-30,,-0.15,7.0,-7.69,24.7,4.112,,18:18:37.60,-52:12:56.8,342.14,-16.41,13.5,7.0,12.3,-4.0,-3.8,222.9,15.0,224.9,,,1.47,0.26,0.73,17.63,3.33,8.13,9.02
NGC 6624,NONE,2.57,3.2,0.8,12.5,-0.7,XXXX,-0.42,11.25,0.5,V,16,11.00–11.25,-1.0,1.2,-7.49,26.2,4.869,,18:23:40.51,-30:21:39.7,2.79,-7.91,7.9,1.2,7.8,0.4,-1.1,53.9,0.6,62.1,5.4,0.5,2.5,0.06,0.82,15.32,5.3,6.61,8.71
NGC 6637,M69,2.0,3.66,0.55,13.1,-0.78,M69,-0.59,11.0,0.38,V,16,11.00–11.25,-1.0,1.7,-7.64,27.7,4.308,M 69,18:31:23.10,-32:20:53.1,1.72,-10.27,8.8,1.7,8.6,0.3,-1.6,39.9,2.8,47.5,,,1.38,0.33,0.84,16.82,3.84,8.15,8.82
NGC 6652,NONE,1.09,2.37,0.46,12.0,-0.97,XXXX,-0.76,11.25,0.25,V,16,11.00–11.25,-1.0,2.7,-6.66,23.9,4.583,,18:35:45.63,-32:59:26.6,1.53,-11.38,10.0,2.7,9.8,0.3,-2.0,-111.7,5.8,-104.3,,,1.8,0.1,0.48,16.1,4.48,7.05,8.39
NGC 6656,M22,6.44,5.32,1.21,12.7,-1.49,M22,-1.7,12.5,0.5,H,30,,0.91,4.9,-8.5,33.9,4.311,M 22,18:36:23.94,-23:54:17.1,9.89,-7.55,3.2,4.9,3.2,0.6,-0.4,-146.3,0.2,-136.6,7.8,0.3,1.38,1.33,3.36,17.42,3.63,8.53,9.23
